x1,x2,x3,k
0.32,0.73,76,1
0.45,0.59,71,1
0.32,0.53,87,1
0.49,0.71,61,1
0.27,0.57,84,1
0.4,0.85,73,1
0.25,0.42,82,1
0.41,0.67,82,1
0.37,0.55,52,1
0.36,0.7,76,1
0.43,0.67,82,1
0.38,0.53,80,1
0.43,0.61,79,1
0.4,0.55,73,1
0.35,0.57,62,1
0.38,0.48,61,1
0.37,0.72,76,1
0.49,0.62,72,1
0.67,1.03,69,2
0.6,0.88,43,2
0.59,0.95,53,2
0.54,0.77,58,2
0.53,0.77,50,2
0.43,0.67,78,2
0.49,0.62,32,2
0.52,0.85,41,2
0.5,0.72,39,2
0.54,0.81,49,2
0.54,0.81,41,2
0.56,0.75,33,2
0.49,0.78,64,2
0.6,0.97,58,2
0.5,0.84,47,2
0.52,0.7,58,2
0.59,1.06,72,2
0.46,0.6,67,2
0.69,1.16,24,3
0.64,1,23,3
0.64,1,24,3
0.56,0.93,23,3
0.61,1,23,3
0.57,0.93,25,3
0.61,1,24,3
0.64,1.16,24,3
0.58,1.21,25,3
0.6,0.83,24,3
0.55,0.9,24,3
0.6,1.04,23,3
0.67,1.42,24,3
0.59,1.05,23,3
0.58,1.1,23,3
